PLT,Latitude,Longitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio13,bio14,bio15,bio16,bio17,bio18,bio19,FH2020,Aridity,HumanFP,maxEVI,maxLAI,meanFpar,meanLST_day,maxNDVI,sumET,sumPET,corr_annual_precip,BD,Clay,OCC,pH,EC,CperN,Ni,aspectcosine,aspectsine,dx,dxx,dy,dyy,elevation,pcurv,roughness,slope,tcurv,tpi,tri
PLOTID_3271022010661,39.43,-87.02,2853,95,275,9124,3025,2680,345,2947,2730,2967,2730,1424,631,220,3861,2245,3284,2245,12,9197,8.93580150604248,0.607699990272522,6.5,0.496413052082062,17.4658966064453,0.847699999809265,738.900024414062,975.900024414062,1073.83618164062,,,,,,,,-0.373077869415283,-0.730872750282288,-0.0249126199632883,4.27293780376203e-05,-0.0110111683607101,3.85518796974793e-05,207.1875,4.01303368562367e-05,17.75,1.52811217308044,4.09843632951379e-05,1.2890625,5.6171875
PLOTID_3271074010661,39.4,-87.18,2854,95,275,9155,3026,2681,345,2949,2731,2969,2731,1444,628,220,3890,2259,3312,2259,16,8983,7.572105884552,0.67220002412796,6.59999990463257,0.49858695268631,17.6846332550049,0.892799973487854,666.799987792969,928.700012207031,1092.91247558594,,,,,,,,-0.624649822711945,-0.39025217294693,-0.0047016651369631,2.65230282820994e-05,-0.00709312222898,6.62004322293797e-06,193.625,1.72833169926889e-05,9.1875,0.57064414024353,1.58451093739131e-05,0.453125,3.46875
PLOTID_3271115010661,39.4,-87.08,2854,95,274,9173,3027,2681,346,2949,2731,2969,2731,1417,620,220,3820,2224,3243,2224,23,9072,5.09286260604858,0.596499979496002,6.80000019073486,0.522826075553894,16.0799999237061,0.879499971866608,647.299987792969,1002.40002441406,1089.74755859375,,,,,,,,0.528371453285217,0.311760365962982,0.0073569794185459,4.8191643145401e-05,0.0113152153789997,6.8148424361425e-06,196.125,-1.17764884635108e-05,12.625,1.11999797821045,6.67626154609025e-05,0.71875,4.546875
PLOTID_3271135010661,39.4,-87.08,2854,95,274,9173,3027,2681,346,2949,2731,2969,2731,1417,620,220,3820,2224,3243,2224,23,9072,5.09286260604858,0.596499979496002,6.80000019073486,0.522826075553894,16.0799999237061,0.879499971866608,647.299987792969,1002.40002441406,1089.74755859375,,,,,,,,0.528371453285217,0.311760365962982,0.0073569794185459,4.8191643145401e-05,0.0113152153789997,6.8148424361425e-06,196.125,-1.17764884635108e-05,12.625,1.11999797821045,6.67626154609025e-05,0.71875,4.546875
PLOTID_3271200010661,39.39,-87.08,2854,95,274,9145,3027,2681,346,2949,2731,2969,2731,1417,621,219,3815,2226,3237,2226,22,9062,7.78279447555542,0.546599984169006,6.69999980926514,0.499021738767624,15.8723812103271,0.83789998292923,666.099975585938,1015.40002441406,1089.74755859375,,,,,,,,-0.304535657167435,0.388122379779816,0.0085312379524111,3.75096969946753e-05,-0.0045936433598399,-1.12931384137482e-05,195.125,8.02723207016243e-07,12.875,1.01244652271271,2.54004226007964e-05,0.2265625,4.5078125
PLOTID_3271259010661,39.39,-86.97,2854,95,274,9127,3026,2681,345,2948,2731,2968,2731,1408,637,215,3822,2254,3258,2254,24,9166,4.41667985916138,0.691200017929077,6.5,0.52586954832077,16.8548774719238,0.882499992847443,788.0,1046.30004882812,1109.77893066406,,,,,,,,-0.0914927944540977,-0.19581338763237,-0.0041789547540247,2.58977524936199e-06,0.0004053212469443,2.25861931539839e-05,199.4375,1.52428947330918e-05,14.0,0.91940051317215,9.86151098913979e-06,0.484375,5.234375
PLOTID_3271309010661,39.39,-86.96,2854,95,274,9120,3026,2681,345,2948,2731,2968,2731,1411,640,215,3833,2263,3269,2263,13,9206,4.07742023468018,0.638700008392334,2.59999990463257,0.417717397212982,16.8553657531738,0.850000023841858,566.799987792969,1019.5,1109.77893066406,,,,,,,,0.207294091582298,-0.497448623180389,-0.0103158233687282,-1.61652133101597e-06,0.0048976405523717,-5.64661922908272e-06,205.25,1.12069346869248e-05,11.0,0.820850729942322,-1.84582004294498e-05,-0.1328125,3.3203125
PLOTID_3271359010661,39.28,-87.2,2857,94,273,9178,3029,2684,345,2952,2734,2972,2734,1399,635,207,3713,2241,3151,2241,17,8873,11.426139831543,0.672299981117249,6.40000009536743,0.308152168989182,18.4899997711182,0.884500026702881,546.599975585938,956.5,1023.10260009766,,,,,,,,0.336274415254593,0.0812673568725586,8.69225768838078e-05,4.51278992841253e-06,0.0020942024420946,1.55774682752963e-06,162.6875,-1.56625101226382e-05,4.4375,0.25243666768074,2.05870255740592e-05,0.0859375,1.3515625
PLOTID_3271408010661,39.32,-87.05,2856,94,273,9147,3028,2683,345,2950,2733,2970,2733,1416,635,213,3792,2253,3217,2253,0,9038,8.60089111328125,0.690599977970123,5.80000019073486,0.323369562625885,16.7215003967285,0.904600024223328,437.100006103516,730.799987792969,1097.41027832031,,,,,,,,0.806443572044373,-0.502503156661987,-0.0123934801667929,-2.61412369582104e-05,0.0131393345072865,-1.22669516713358e-05,179.5625,-2.36074865824776e-05,11.25,0.960553288459778,-1.47868568092235e-05,-0.5625,3.203125
PLOTID_3271461010661,39.28,-87.06,2855,94,274,9096,3027,2684,343,2949,2733,2969,2733,1440,653,210,3845,2305,3265,2305,18,9100,11.8008241653442,0.571900010108948,6.69999980926514,0.483478248119354,17.5974998474121,0.890799999237061,650.5,947.0,1111.89636230469,,,,,,,,-0.225854739546776,-0.554480135440826,-0.0091701596975326,-1.9019928004127e-05,-0.0032088602893054,2.0055736968061e-05,199.4375,5.47467834621784e-06,11.0625,0.799397528171539,-4.41692918684566e-06,0.171875,3.84375
PLOTID_3271503010661,39.24,-87.19,2857,94,273,9178,3029,2684,345,2952,2734,2972,2734,1420,657,202,3754,2300,3187,2300,21,8922,8.08222103118896,0.627399981021881,3.0,0.35739129781723,18.4729995727539,0.879100024700165,546.200012207031,998.700012207031,1010.96124267578,,,,,,,,0.411000519990921,0.0776680707931519,-0.0005209916853345,2.3824917661841e-05,0.0131733044981956,-1.36303515319014e-05,167.625,-3.08097187371459e-05,13.6875,1.11550307273865,4.1005030652741e-05,0.015625,4.625
PLOTID_3271549010661,39.2,-87.22,2857,94,275,9127,3028,2685,343,2952,2734,2971,2734,1448,679,199,3823,2361,3255,2361,12,8989,15.2107439041138,0.595600008964539,6.40000009536743,0.503913044929504,17.729024887085,0.865199983119965,855.700012207031,1174.59997558594,1116.28381347656,,,,,,,,0.0197533015161753,0.483016341924667,0.0077702668495476,-1.96179462363943e-05,0.0005066652083769,-7.20475054549752e-06,187.125,-8.789445473667e-07,10.5,0.737752676010132,-2.59459211520152e-05,-0.3828125,3.9453125
PLOTID_3274496010661,38.89,-86.93,2860,95,278,8965,3031,2691,340,2952,2739,2972,2739,1602,734,216,3930,2465,3189,2465,25,9254,11.7000160217285,0.622099995613098,7.0,0.541413068771362,17.7031707763672,0.862600028514862,755.700012207031,1032.40002441406,1135.34399414062,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.413666248321533,-0.624064862728119,-0.0345767289400101,-8.28841257316526e-06,-0.0245240870863199,-2.72640336334007e-05,183.4375,-1.58640632434981e-05,31.75,2.57321262359619,-1.96346663869917e-05,-0.6484375,11.1015625
PLOTID_3274527010661,38.88,-86.91,2860,95,278,8949,3031,2691,340,2952,2739,2972,2739,1614,741,216,3958,2482,3209,2482,26,9257,13.5914859771729,0.671500027179718,6.90000009536743,0.542608678340912,16.6140899658203,0.865100026130676,538.099975585938,875.299987792969,1135.34399414062,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.186544090509415,-0.523635685443878,-0.0356093905866146,-5.86495480092708e-05,-0.0104717379435897,0.000105550927401,188.5,2.30165969696827e-05,36.1875,2.81930112838745,2.31011217692867e-05,1.3984375,13.4609375
PLOTID_3274559010661,38.87,-86.95,2859,95,279,8931,3030,2691,339,2912,2739,2972,2739,1620,741,216,3961,2489,3207,2489,21,9253,5.65638589859009,0.633599996566772,6.69999980926514,0.552934765815735,19.7341022491455,0.843299984931946,767.799987792969,1045.30004882812,1135.34399414062,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.182355657219887,-0.363602221012115,-0.0158581081777811,1.94415097212186e-05,-0.0084787318482995,1.30478128994582e-05,194.3125,4.43460994574707e-05,22.5625,1.52001702785492,-1.20901549962582e-05,0.5,7.921875
PLOTID_3274599010661,38.87,-86.97,2860,95,279,8954,3030,2691,339,2912,2739,2972,2739,1628,742,216,3976,2497,3218,2497,25,9201,5.07182741165161,0.605400025844574,2.79999995231628,0.453478246927261,18.2705135345459,0.77209997177124,565.799987792969,1033.90002441406,1123.29138183594,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.718200325965881,0.0646713823080063,0.001771495793946,2.64524642261676e-05,-0.0193558391183615,-3.29118120134808e-05,184.9375,-6.76395757182036e-06,19.0625,1.39821553230286,2.19432337189573e-07,-0.3359375,6.8203125
PLOTID_3274638010661,38.84,-86.97,2861,94,278,8954,3031,2692,339,2913,2740,2973,2740,1620,739,217,3945,2486,3175,2486,0,9218,26.041841506958,0.6007000207901,3.29999995231628,0.384021729230881,20.0391883850098,0.81989997625351,492.700012207031,977.0,1146.89611816406,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.0623726807534695,0.5159872174263,0.0062628076411783,2.89704748865915e-05,-0.0005066997837275,1.42164535645861e-05,176.9375,1.80745610123267e-05,8.4375,0.620522916316986,2.51051715167705e-05,0.640625,2.640625
PLOTID_3274682010661,38.78,-87.25,2863,94,278,9046,3033,2693,340,2917,2741,2976,2741,1572,699,216,3748,2387,2978,2387,0,8940,18.1150283813477,0.556699991226196,2.20000004768372,0.326086968183517,20.9521617889404,0.83160001039505,462.299987792969,891.400024414062,1047.814453125,1.24,26.0,16.46,5.5,0.0,14.0,1.25,0.537043154239655,0.0938945189118385,0.0007336946437135,8.57899885886582e-06,0.005708877928555,2.16172902582912e-05,140.9375,-8.7874946075317e-07,9.5625,0.722682356834412,3.10592331516091e-05,0.5390625,3.6328125
PLOTID_3274703010661,38.78,-87.25,2863,94,278,9046,3033,2693,340,2917,2741,2976,2741,1572,699,216,3748,2387,2978,2387,0,8940,18.1150283813477,0.556699991226196,2.20000004768372,0.326086968183517,20.9521617889404,0.83160001039505,462.299987792969,891.400024414062,1047.814453125,1.24,26.0,16.46,5.5,0.0,14.0,1.25,0.537043154239655,0.0938945189118385,0.0007336946437135,8.57899885886582e-06,0.005708877928555,2.16172902582912e-05,140.9375,-8.7874946075317e-07,9.5625,0.722682356834412,3.10592331516091e-05,0.5390625,3.6328125
PLOTID_3274770010661,38.75,-87.07,2863,95,278,9008,3034,2694,340,2917,2742,2976,2742,1592,724,216,3837,2445,3028,2445,22,9124,11.2529993057251,0.64740002155304,2.90000009536743,0.35043478012085,19.590539932251,0.866299986839294,494.899993896484,911.799987792969,1090.87145996094,,,,,,,,-0.159233406186104,0.0137999467551708,-0.0003881982993334,2.06413169507869e-05,-0.0036820801906287,-1.65539950103266e-05,144.25,1.12011493911268e-05,10.125,0.721690714359283,-7.11152870280785e-06,-0.078125,3.609375
PLOTID_3274837010661,38.8,-86.97,2861,95,279,8937,3031,2692,339,2913,2741,2973,2741,1614,740,216,3924,2487,3142,2487,0,9267,7.41048002243042,0.576399981975555,2.29999995231628,0.410869568586349,19.6202564239502,0.774200022220612,497.299987792969,983.200012207031,1144.69567871094,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.884397268295288,0.0292863324284554,0.0023743868805468,-2.63936999544967e-05,-0.0239502023905516,3.40809674526099e-05,180.9375,4.28035855293274e-06,17.1875,1.51662111282349,3.43771489497158e-06,0.359375,5.65625
PLOTID_3274879010661,38.78,-86.94,2862,95,279,8947,3032,2693,339,2914,2741,2974,2741,1613,748,214,3928,2505,3139,2505,0,9236,11.0771961212158,0.62279999256134,2.0,0.401739120483398,20.2935905456543,0.852699995040894,426.299987792969,868.5,1151.56274414062,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.800555825233459,0.459399670362473,0.0108321812003851,-2.00252216018271e-05,-0.0156403034925461,-4.0897361941461e-06,171.375,-1.4616125554312e-05,12.8125,1.0967435836792,-9.47704211284872e-06,-0.328125,3.953125
PLOTID_3274911010661,38.65,-87.25,2865,94,277,9028,3034,2695,339,2919,2744,2978,2744,1589,712,214,3739,2439,2906,2439,0,8895,25.4445648193359,0.537999987602234,2.09999990463257,0.333369553089142,18.8495349884033,0.81029999256134,485.399993896484,960.799987792969,1105.24462890625,,,,,,,,0.0487203001976013,-0.202141657471657,-0.0021968723740428,2.21549407797283e-06,0.0003040285373572,1.94762549199368e-07,132.3125,-6.67446875013411e-06,4.9375,0.349844038486481,9.08495621843031e-06,0.03125,1.828125
PLOTID_3275016010661,38.59,-87.15,2865,94,279,8951,3034,2697,337,2918,2745,2978,2745,1638,756,213,3918,2564,3019,2564,0,9081,5.57160997390747,0.585900008678436,4.80000019073486,0.421413034200668,19.3770008087158,0.862100005149841,500.700012207031,967.200012207031,1135.41027832031,,,,,,,,0.0112966317683458,0.211908891797066,0.0050785839557647,1.8963270349559e-06,0.0020944522693753,3.50575282936916e-06,150.25,-8.79837807588046e-06,9.25,0.64173024892807,1.41994041769067e-05,0.09375,3.03125
PLOTID_3275050010661,38.57,-87.16,2866,94,277,8974,3035,2697,338,2919,2745,2979,2745,1618,749,211,3861,2544,2972,2544,10,9024,8.75686264038086,0.620599985122681,3.40000009536743,0.39402174949646,18.4812202453613,0.879700005054474,568.299987792969,1042.40002441406,1111.68859863281,,,,,,,,-0.218978062272072,0.279849916696548,0.014889020472765,1.26351994822471e-06,-0.0089858938008546,-2.25925996346632e-05,138.0625,-7.30044193915091e-05,15.9375,1.21447336673737,5.17430198669899e-05,-0.4375,4.90625
PLOTID_3275065010661,38.58,-87.15,2866,94,278,8956,3035,2697,338,2919,2745,2978,2745,1630,754,212,3899,2559,3003,2559,0,9059,6.3393759727478,0.665199995040894,6.59999990463257,0.549673914909363,18.8929996490479,0.875199973583221,809.900024414062,1142.59997558594,1135.41027832031,,,,,,,,-0.857860445976257,0.205099999904633,0.0076605691574513,-2.5285530682595e-06,-0.0158773101866245,2.29820634558564e-05,144.625,1.83378062956763e-06,13.0625,1.06412506103516,1.86147299245931e-05,0.4296875,4.2421875
PLOTID_3275103010661,38.61,-87.06,2865,94,278,8947,3034,2696,338,2917,2744,2977,2744,1654,774,213,4002,2605,3096,2605,0,9108,10.6715841293335,0.640999972820282,3.5,0.354999989271164,18.8980007171631,0.853600025177002,490.5,920.799987792969,1147.45922851562,,,,,,,,0.593993902206421,-0.0910905823111534,0.0018081996822729,6.3270395003201e-06,0.0085128946229815,-1.94761050806846e-05,152.9375,-1.51889335029409e-05,9.375,0.691078960895538,2.04206185117073e-06,-0.3125,3.078125
PLOTID_3275143010661,38.57,-87.06,2865,94,278,8930,3035,2697,338,2918,2745,2977,2745,1636,777,208,3973,2614,3070,2614,23,9078,4.50954341888428,0.683200001716614,2.90000009536743,0.414021730422974,17.8444194793701,0.863699972629547,628.599975585938,1171.09997558594,1159.39721679688,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.315885245800018,0.22720031440258,0.0037865878548473,-8.84813744050916e-06,-0.0054726162925362,1.67496655194554e-05,155.375,7.91563343227608e-06,8.1875,0.600456655025482,-1.01109520755926e-08,0.2265625,2.7421875
PLOTID_3275190010661,38.58,-87.01,2865,94,279,8883,3034,2697,337,2917,2745,2976,2745,1662,801,205,4063,2684,3156,2684,0,9136,4.26581287384033,0.618600010871887,2.5,0.389999985694885,17.7109298706055,0.798699975013733,506.399993896484,1025.5,1189.57824707031,1.24,26.0,16.46,5.5,0.0,14.0,1.25,-0.484042108058929,0.234704256057739,0.0135565465316176,3.88797889172565e-05,-0.0142895802855492,1.928145866259e-05,169.1875,1.97630051843589e-05,18.875,1.44332122802734,9.7126485343324e-06,0.8671875,5.9140625
PLOTID_3284332010661,38.49,-87.57,2867,93,275,9029,3036,2697,339,2921,2746,2980,2746,1527,726,191,3597,2495,2839,2495,0,8823,16.5170936584473,0.484200000762939,2.20000004768372,0.288260877132416,17.1668186187744,0.758199989795685,512.900024414062,1064.59997558594,1141.35034179688,,,,,,,,0.395249605178833,-0.248326078057289,-0.0062749818898737,-2.08092860702891e-05,0.0108778225257993,-4.90819329570513e-05,123.625,-6.87563515384682e-05,10.4375,0.876241385936737,-1.01461648682744e-06,-1.2421875,3.0234375
